NADH:99 | NAD:101 | FADH2:99 | FAD:101 | ADP:99 | ATP:11 | O2:99 | H2O:102
NADH:130 | NAD:101 | FADH2:99 | FAD:101 | ADP:68 | ATP:25 | O2:68 | H2O:164
NADH:131 | NAD:101 | FADH2:99 | FAD:101 | ADP:67 | ATP:25 | O2:67 | H2O:166
NADH:132 | NAD:101 | FADH2:99 | FAD:101 | ADP:66 | ATP:25 | O2:66 | H2O:168
NADH:133 | NAD:101 | FADH2:99 | FAD:101 | ADP:65 | ATP:25 | O2:65 | H2O:170
NADH:134 | NAD:101 | FADH2:99 | FAD:101 | ADP:64 | ATP:25 | O2:64 | H2O:172
NADH:135 | NAD:101 | FADH2:99 | FAD:101 | ADP:63 | ATP:25 | O2:63 | H2O:174
NADH:136 | NAD:101 | FADH2:99 | FAD:101 | ADP:62 | ATP:25 | O2:62 | H2O:176
NADH:137 | NAD:101 | FADH2:99 | FAD:101 | ADP:61 | ATP:25 | O2:61 | H2O:178
NADH:138 | NAD:101 | FADH2:99 | FAD:101 | ADP:60 | ATP:25 | O2:60 | H2O:180
NADH:139 | NAD:101 | FADH2:99 | FAD:101 | ADP:59 | ATP:25 | O2:59 | H2O:182
NADH:140 | NAD:101 | FADH2:99 | FAD:101 | ADP:58 | ATP:25 | O2:58 | H2O:184
NADH:141 | NAD:101 | FADH2:99 | FAD:101 | ADP:57 | ATP:25 | O2:57 | H2O:186
NADH:142 | NAD:101 | FADH2:99 | FAD:101 | ADP:56 | ATP:25 | O2:56 | H2O:188
NADH:143 | NAD:101 | FADH2:99 | FAD:101 | ADP:55 | ATP:25 | O2:55 | H2O:190
NADH:144 | NAD:101 | FADH2:99 | FAD:101 | ADP:54 | ATP:25 | O2:54 | H2O:192
NADH:145 | NAD:101 | FADH2:99 | FAD:101 | ADP:53 | ATP:25 | O2:53 | H2O:194
NADH:146 | NAD:101 | FADH2:99 | FAD:101 | ADP:52 | ATP:25 | O2:52 | H2O:196
NADH:147 | NAD:101 | FADH2:99 | FAD:101 | ADP:51 | ATP:25 | O2:51 | H2O:198
NADH:148 | NAD:101 | FADH2:99 | FAD:101 | ADP:50 | ATP:25 | O2:50 | H2O:200
NADH:149 | NAD:101 | FADH2:99 | FAD:101 | ADP:49 | ATP:25 | O2:49 | H2O:202
NADH:150 | NAD:101 | FADH2:99 | FAD:101 | ADP:48 | ATP:25 | O2:48 | H2O:204
NADH:151 | NAD:101 | FADH2:99 | FAD:101 | ADP:47 | ATP:25 | O2:47 | H2O:206
NADH:152 | NAD:101 | FADH2:99 | FAD:101 | ADP:46 | ATP:25 | O2:46 | H2O:208
NADH:153 | NAD:101 | FADH2:99 | FAD:101 | ADP:45 | ATP:25 | O2:45 | H2O:210
NADH:154 | NAD:101 | FADH2:99 | FAD:101 | ADP:44 | ATP:25 | O2:44 | H2O:212
NADH:155 | NAD:101 | FADH2:99 | FAD:101 | ADP:43 | ATP:25 | O2:43 | H2O:214
NADH:156 | NAD:101 | FADH2:99 | FAD:101 | ADP:42 | ATP:25 | O2:42 | H2O:216
NADH:157 | NAD:101 | FADH2:99 | FAD:101 | ADP:41 | ATP:25 | O2:41 | H2O:218
NADH:158 | NAD:101 | FADH2:99 | FAD:101 | ADP:40 | ATP:25 | O2:40 | H2O:220
NADH:159 | NAD:101 | FADH2:99 | FAD:101 | ADP:39 | ATP:25 | O2:39 | H2O:222
NADH:160 | NAD:101 | FADH2:99 | FAD:101 | ADP:38 | ATP:25 | O2:38 | H2O:224
NADH:161 | NAD:101 | FADH2:99 | FAD:101 | ADP:37 | ATP:25 | O2:37 | H2O:226
NADH:162 | NAD:101 | FADH2:99 | FAD:101 | ADP:36 | ATP:25 | O2:36 | H2O:228
NADH:163 | NAD:101 | FADH2:99 | FAD:101 | ADP:35 | ATP:25 | O2:35 | H2O:230
NADH:164 | NAD:101 | FADH2:99 | FAD:101 | ADP:34 | ATP:25 | O2:34 | H2O:232
NADH:165 | NAD:101 | FADH2:99 | FAD:101 | ADP:33 | ATP:25 | O2:33 | H2O:234
NADH:166 | NAD:101 | FADH2:99 | FAD:101 | ADP:32 | ATP:25 | O2:32 | H2O:236
NADH:167 | NAD:101 | FADH2:99 | FAD:101 | ADP:31 | ATP:25 | O2:31 | H2O:238
NADH:168 | NAD:101 | FADH2:99 | FAD:101 | ADP:30 | ATP:25 | O2:30 | H2O:240
NADH:169 | NAD:101 | FADH2:99 | FAD:101 | ADP:29 | ATP:25 | O2:29 | H2O:242
NADH:170 | NAD:101 | FADH2:99 | FAD:101 | ADP:28 | ATP:25 | O2:28 | H2O:244
NADH:171 | NAD:101 | FADH2:99 | FAD:101 | ADP:27 | ATP:25 | O2:27 | H2O:246
NADH:172 | NAD:101 | FADH2:99 | FAD:101 | ADP:26 | ATP:25 | O2:26 | H2O:248
NADH:173 | NAD:101 | FADH2:99 | FAD:101 | ADP:25 | ATP:25 | O2:25 | H2O:250
NADH:174 | NAD:101 | FADH2:99 | FAD:101 | ADP:24 | ATP:25 | O2:24 | H2O:252
NADH:175 | NAD:101 | FADH2:99 | FAD:101 | ADP:23 | ATP:25 | O2:23 | H2O:254
NADH:176 | NAD:101 | FADH2:99 | FAD:101 | ADP:22 | ATP:25 | O2:22 | H2O:256
NADH:177 | NAD:101 | FADH2:99 | FAD:101 | ADP:21 | ATP:25 | O2:21 | H2O:258
NADH:178 | NAD:101 | FADH2:99 | FAD:101 | ADP:20 | ATP:25 | O2:20 | H2O:260
NADH:179 | NAD:101 | FADH2:99 | FAD:101 | ADP:19 | ATP:25 | O2:19 | H2O:262
NADH:180 | NAD:101 | FADH2:99 | FAD:101 | ADP:18 | ATP:25 | O2:18 | H2O:264
NADH:181 | NAD:101 | FADH2:99 | FAD:101 | ADP:17 | ATP:25 | O2:17 | H2O:266
NADH:182 | NAD:101 | FADH2:99 | FAD:101 | ADP:16 | ATP:25 | O2:16 | H2O:268
NADH:183 | NAD:101 | FADH2:99 | FAD:101 | ADP:15 | ATP:25 | O2:15 | H2O:270
NADH:184 | NAD:101 | FADH2:99 | FAD:101 | ADP:14 | ATP:25 | O2:14 | H2O:272
NADH:185 | NAD:101 | FADH2:99 | FAD:101 | ADP:13 | ATP:25 | O2:13 | H2O:274
NADH:186 | NAD:101 | FADH2:99 | FAD:101 | ADP:12 | ATP:25 | O2:12 | H2O:276
NADH:187 | NAD:101 | FADH2:99 | FAD:101 | ADP:11 | ATP:25 | O2:11 | H2O:278
NADH:188 | NAD:101 | FADH2:99 | FAD:101 | ADP:10 | ATP:25 | O2:10 | H2O:280
NADH:189 | NAD:101 | FADH2:99 | FAD:101 | ADP:9 | ATP:25 | O2:9 | H2O:282
NADH:190 | NAD:101 | FADH2:99 | FAD:101 | ADP:8 | ATP:25 | O2:8 | H2O:284
NADH:191 | NAD:101 | FADH2:99 | FAD:101 | ADP:7 | ATP:25 | O2:7 | H2O:286
NADH:192 | NAD:101 | FADH2:99 | FAD:101 | ADP:6 | ATP:25 | O2:6 | H2O:288
NADH:193 | NAD:101 | FADH2:99 | FAD:101 | ADP:5 | ATP:25 | O2:5 | H2O:290
NADH:194 | NAD:101 | FADH2:99 | FAD:101 | ADP:4 | ATP:25 | O2:4 | H2O:292
NADH:195 | NAD:101 | FADH2:99 | FAD:101 | ADP:3 | ATP:25 | O2:3 | H2O:294
NADH:196 | NAD:101 | FADH2:99 | FAD:101 | ADP:2 | ATP:25 | O2:2 | H2O:296
NADH:197 | NAD:101 | FADH2:99 | FAD:101 | ADP:1 | ATP:25 | O2:1 | H2O:298
NADH:198 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:25 | O2:0 | H2O:300
NADH:199 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:200 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:201 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:202 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:203 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:204 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:205 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:206 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:207 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:208 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:209 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:210 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:211 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:212 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:213 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:214 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:215 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:216 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:217 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:218 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:219 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:220 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:221 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:222 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:223 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:224 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:225 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:226 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:227 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:228 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:229 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:230 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:231 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:232 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:233 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:234 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:235 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:236 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:237 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:238 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:239 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:240 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:241 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:242 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:243 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:244 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:245 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:246 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:247 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:248 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:249 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:250 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:251 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:252 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:253 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:254 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:255 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:256 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:257 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:258 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:259 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:260 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:261 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:262 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:263 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:264 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:265 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:266 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:267 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:268 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:269 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:270 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:271 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:272 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:273 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:274 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:275 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:276 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:277 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:278 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:279 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:280 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:281 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:282 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:283 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:284 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:285 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:286 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:287 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:288 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:289 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:290 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:291 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:292 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:293 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:294 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:295 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:296 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:297 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:298 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:299 | NAD:101 | FADH2:99 | FAD:101 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:300 | NAD:101 | FADH2:98 | FAD:102 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:301 | NAD:101 | FADH2:97 | FAD:103 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:302 | NAD:101 | FADH2:96 | FAD:104 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:303 | NAD:101 | FADH2:95 | FAD:105 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:304 | NAD:101 | FADH2:94 | FAD:106 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:305 | NAD:101 | FADH2:93 | FAD:107 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:306 | NAD:101 | FADH2:92 | FAD:108 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:307 | NAD:101 | FADH2:91 | FAD:109 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:308 | NAD:101 | FADH2:90 | FAD:110 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:309 | NAD:101 | FADH2:89 | FAD:111 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:310 | NAD:101 | FADH2:88 | FAD:112 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:311 | NAD:101 | FADH2:87 | FAD:113 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:312 | NAD:101 | FADH2:86 | FAD:114 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:313 | NAD:101 | FADH2:85 | FAD:115 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:314 | NAD:101 | FADH2:84 | FAD:116 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:315 | NAD:101 | FADH2:83 | FAD:117 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:316 | NAD:101 | FADH2:82 | FAD:118 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:317 | NAD:101 | FADH2:81 | FAD:119 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:318 | NAD:101 | FADH2:80 | FAD:120 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:319 | NAD:101 | FADH2:79 | FAD:121 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:320 | NAD:101 | FADH2:78 | FAD:122 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:321 | NAD:101 | FADH2:77 | FAD:123 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:322 | NAD:101 | FADH2:76 | FAD:124 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:323 | NAD:101 | FADH2:75 | FAD:125 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:324 | NAD:101 | FADH2:74 | FAD:126 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:325 | NAD:101 | FADH2:73 | FAD:127 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:326 | NAD:101 | FADH2:72 | FAD:128 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:327 | NAD:101 | FADH2:71 | FAD:129 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:328 | NAD:101 | FADH2:70 | FAD:130 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:329 | NAD:101 | FADH2:69 | FAD:131 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:330 | NAD:101 | FADH2:68 | FAD:132 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:331 | NAD:101 | FADH2:67 | FAD:133 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:332 | NAD:101 | FADH2:66 | FAD:134 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:333 | NAD:101 | FADH2:65 | FAD:135 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:334 | NAD:101 | FADH2:64 | FAD:136 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:335 | NAD:101 | FADH2:63 | FAD:137 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:336 | NAD:101 | FADH2:62 | FAD:138 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:337 | NAD:101 | FADH2:61 | FAD:139 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:338 | NAD:101 | FADH2:60 | FAD:140 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:339 | NAD:101 | FADH2:59 | FAD:141 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:340 | NAD:101 | FADH2:58 | FAD:142 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:341 | NAD:101 | FADH2:57 | FAD:143 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:342 | NAD:101 | FADH2:56 | FAD:144 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:343 | NAD:101 | FADH2:55 | FAD:145 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:344 | NAD:101 | FADH2:54 | FAD:146 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:345 | NAD:101 | FADH2:53 | FAD:147 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:346 | NAD:101 | FADH2:52 | FAD:148 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:347 | NAD:101 | FADH2:51 | FAD:149 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:348 | NAD:101 | FADH2:50 | FAD:150 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:349 | NAD:101 | FADH2:49 | FAD:151 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:350 | NAD:101 | FADH2:48 | FAD:152 | ADP:0 | ATP:24 | O2:0 | H2O:300
NADH:351 | NAD:101 | FADH2:47 | FAD:153 | ADP:0 | ATP:24 | O2:0 | H2O:300
